Georgia,https://www.wjbf.com/lifestyle/health/coronavirus/first-reported-covid-19-death-in-georgia-happened-earlier-than-previously-thought/,nan
Germany,https://unb.com.bd/category/World/germany-reports-first-two-deaths-from-covid-19/46645,nan
Ghana,https://punchng.com/ghana-records-first-coronavirus-death-shuts-borders/,nan
Greece,https://www.aa.com.tr/en/europe/greece-confirms-1st-death-from-coronavirus/1763061#!,nan
Grenada,No death till 16 May 2020,nan
Guatemala,https://tass.com/world/1130473,nan
Guinea,https://www.aa.com.tr/en/africa/guinean-local-media-reports-1st-covid-19-death/1805369,nan
Guyana,https://www.reuters.com/article/us-health-coronavirus-guyana-confirmed/guyana-confirms-first-case-of-coronavirus-in-woman-who-returned-from-u-s-idUSKBN20Z06B,nan
Haiti,https://www.thejakartapost.com/news/2020/04/06/haiti-reports-its-first-coronavirus-death-.html,nan
Honduras,www.xinhuanet.com/english/2020-03/27/c_138921089.htm,nan
Hungary,http://www.xinhuanet.com/english/2020-03/16/c_138880842.htm,nan
Iceland,https://www.icelandreview.com/society/first-covid-19-death-at-icelands-national-hospital/,nan
India,https://unb.com.bd/category/world/india-confirms-first-death-from-covid-19/46877,nan
Indonesia,https://www.thejakartapost.com/news/2020/03/11/indonesia-reports-first-death-from-covid-19.htmll,nan
Iran,https://www.aljazeera.com/news/2020/02/die-coronavirus-iran-fatalities-middle-east-200219171007605.html,nan
Iraq,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/iraq-reports-first-death-from-coronavirus/1754215,nan
Ireland,https://www.thejournal.ie/covid-19-ireland-death-5034206-Mar2020//,nan
Israel,https://www.aljazeera.com/news/2020/04/coronavirus-death-east-jerusalem-israeli-neglect-200418093524597.html,nan
Italy,https://unb.com.bd/category/World/italy-reports-1st-coronavirus-death-cases-more-than-quadruple/44944,nan
Jamaica,https://www.moh.gov.jm/jamaica-records-first-covid-19-death/,nan
Japan,https://www.japantimes.co.jp/news/2020/02/13/national/science-health/tokyo-taxi-driver-coronavirus/#.Xr-asMBxXIU,nan
Jordan,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/jordan-confirms-first-death-from-covid-19/1782742,nan
Kazakhstan,https://www.reuters.com/article/uk-health-coronavirus-kazakhstan/kazakhstan-reports-first-death-due-to-coronavirus-idUSKBN21D2I0,nan
Kenya,https://www.the-star.co.ke/covid-19/2020-03-26-first-kenyan-dies-of-covid-19-cs-kagwe/,nan
Kuwait,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/kuwait-reports-1st-death-from-coronavirus-/1792273,nan
Kyrgyzstan,http://www.xinhuanet.com/english/2020-04/03/c_138943740.htm,nan
Laos,No death till 16 May 2020,nan
Latvia,https://bnn-news.com/first-death-from-covid-19-found-in-latvia-212052,nan
Lebanon,https://english.alarabiya.net/en/News/middle-east/2020/03/10/Lebanon-records-its-first-death-from-coronavirus-Reports,nan
Lesotho,No death till 16 May 2020,nan
Liberia,https://allafrica.com/stories/202004060367.html,nan
Libya,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/libya-confirms-first-death-from-covid-19/1790439,nan
Liechtenstein,https://www.worldometers.info/coronavirus/country/liechtenstein/,nan
Lithuania,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Lithuania,nan
Luxembourg,https://medicalxpress.com/news/2020-03-luxembourg-coronavirus-death.html,nan
Madagascar,No death till 16 May 2020,nan
Malawi,https://www.thejakartapost.com/news/2020/04/07/spain-to-speed-up-roll-out-of-basic-income-due-to-virus-.html,nan
Malaysia,https://www.aa.com.tr/en/asia-pacific/malaysia-reports-first-2-deaths-from-coronavirus/1768988,nan
Maldives,https://www.aa.com.tr/en/asia-pacific/maldives-confirms-first-death-due-to-covid-19/1823871,nan
Mali,https://www.trtworld.com/africa/mali-records-first-coronavirus-death-hours-before-election-34940,nan
