Moldova,2020-3-7,Italy,1.0,48,18 March 2020,61
Maldives,2020-3-7,Italy,2.0,No Trace,30 April 2020,83
Malta,2020-3-7,Italy,3.0,12,8 April 2020,92
Bangladesh,2020-3-8,Italy,3.0,Unspecified,18 March 2020,70+
Bulgaria,2020-3-8,nan,4.0,27  25  No Trace  No Trace,11 March 2020,66
Burkina Faso,2020-3-9,France,2.0,No Trace,19 March 2020,62
Albania,2020-3-9,Italy,2.0,54 28,11 March 2020,73
Cyprus,2020-3-9,Italy  United Kingdom,2.0,25,28 March 2020,67
Brunei,2020-3-9,Malaysia,1.0,53,28 March 2020,64
Panama,2020-3-9,Spain,1.0,40,10 March 2020,No Trace
Democratic Republic of the Congo,2020-3-10,Belgium,1.0,No Trace,31 March 2020,81
Mongolia,2020-3-10,France,1.0,57,No death till 16 May 2020,nan
Bolivia,2020-3-10,Italy,2.0,60 64,30 March 2020,78
Honduras,2020-3-10,Spain  Switzerland,2.0,42 37,26 March 2020,60
Jamaica,2020-3-10,United Kingdom,1.0,No Trace,18 March 2020,79
Cote d'Ivoire,2020-3-11,Italy,1.0,45,29 March 2020,Unspecified
Cuba,2020-3-11,Italy,3.0,No Trace,18 March 2020,61
Saint Vincent and the Grenadines,2020-3-11,United Kingdom,1.0,30+,No death till 16 May 2020,nan
Turkey,2020-3-11,Unspecified ,1.0,No Trace,17 March 2020,89
Gabon,2020-3-12,France,1.0,27,20 March 2020,50
Ghana,2020-3-12,Norway  Turkey,2.0,No Trace,21 March 2020,61
Trinidad and Tobago,2020-3-12,Switzerland,1.0,52,25 March 2020,77
Guyana,2020-3-12,United States,1.0,52,11 March,52
Guinea,2020-3-13,Belgium,1.0,49,15 April 2020,75
Ethiopia,2020-3-13,Burkina Faso,1.0,48,5 April 2020,60
Mauritania,2020-3-13,France,1.0,No Trace,30 March 2020,48
Kazakhstan,2020-3-13,Germany,2.0,No Trace,26 March 2020,No Trace
Guatemala,2020-3-13,Italy,1.0,No Trace,16 March 2020,85
Uruguay,2020-3-13,Italy ,4.0,No Trace,28 March 2020,71
Kosovo,2020-3-13,Italy ,2.0,77 20,22 March 2020,No Trace
Antigua and Barbuda,2020-3-13,United Kingdom,1.0,No Trace,7 April 2020,48
Saint Lucia,2020-3-13,United Kingdom,1.0,63,No death till 16 May 2020,nan
Sudan,2020-3-13,United Arab Emirates,1.0,50,12 March 2020,50
Venezuela,2020-3-13,Unspecified ,2.0,31,26 March 2020,47
Suriname,2020-3-13,Unspecified ,1.0,No Trace,3 April 2020,No Trace
Kenya,2020-3-13,United States  United Kingdom,1.0,27,26 March 2020,66
Republic of the Congo,2020-3-14,France,1.0,50,1 April 2020,No Trace
Rwanda,2020-3-14,India,1.0,No Trace,No death till 16 May 2020,nan
Seychelles,2020-3-14,Italy,2.0,No Trace,No death till 16 May 2020,nan
Central African Republic,2020-3-14,Italy,1.0,74,No death till 16 May 2020,nan
Namibia,2020-3-14,Spain,2.0,No Trace,No death till 16 May 2020,nan
